Kabupaten/Kota,JKI,K1,K4,PDN,Fe3,KKD,RT ber-PHBS,MPN,VitA,Puskesmas,TM
Kab. Cilacap,20,100,94.85,99.95,95.04,105.8,74.56,97.7,98.81,38,295
Kab. Banyumas,14,100,92.87,100,91.79,126.6,70.94,100,100,39,716
Kab. Purbalingga,11,100,95.71,99.71,90.09,96.3,76.66,92.89,99.06,22,233
Kab. Banjarnegara,21,94.05,85.48,98.54,86.41,151.6,68.47,96.76,82.29,35,170
Kab. Kebumen,12,100,95.5,99.77,98.83,110.3,78.32,98.98,99.89,35,572
Kab. Purworejo,13,100,90.97,99.01,92.59,147.1,76.56,98.24,99.79,27,76
Kab. Wonosobo,10,99.98,89.37,99.87,91.48,130.4,76.49,98.37,99.9,24,139
Kab. Magelang,8,100,89.94,99.95,89.72,107.5,59.69,97,99.54,29,262
Kab. Boyolali,16,100.42,94.56,94.11,93.26,100,68.17,93.39,93.42,29,359
Kab. Klaten,18,99.92,92.85,100,93.22,101.6,92.83,92.87,95.5,34,304
Kab. Sukoharjo,4,100,93.34,100,92.33,100,73.93,97.8,99.98,12,546
Kab. Wonogiri,9,100,91.04,100,82.79,101,89.31,98.59,101.17,34,257
Kab. Karanganyar,9,100,93.61,100,94.1,99.9,88.35,99.27,99.25,21,246
Kab. Sragen,11,100,91.48,99.92,92.15,127.6,87.78,95.03,99.92,25,412
Kab. Grobogan,18,85.21,87.37,99.98,83.99,105.3,89.22,99.62,100.15,30,261
Kab. Blora,15,100,85.37,100,96.53,160.5,68.36,99.25,74.05,26,200
Kab. Rembang,14,100,90.38,99.98,91.85,100,76.19,96.55,99.98,17,90
Kab. Pati,15,97.28,92.55,95.78,92.57,98.6,69.01,92.34,96.35,29,300
Kab. Kudus,11,100,98.02,96.68,92.33,103.7,78.3,96.06,96.26,19,355
Kab. Jepara,12,100,96.02,100.01,93.84,94.5,83.67,98.74,99.18,21,313
Kab. Demak,14,100,95.18,100,98.24,100,81.41,99.96,100,27,188
Kab. Semarang ,15,100,98.24,99.92,86,131.5,68.61,93.57,98.39,26,222
Kab. Temanggung,7,100,88.44,99.22,93.76,151.3,79.42,97.54,99.39,25,137
Kab. Kendal,25,100,93.76,99.99,93.21,106.4,64.18,95.8,99.96,30,58
Kab. Batang,16,100,93.51,99.97,96.35,100,83.68,99.92,99.96,21,99
Kab. Pekalongan,16,94.29,93.92,100,95.69,171.5,75.5,96.87,98.92,27,235
Kab. Pemalang,25,100,91.57,98.56,89.46,135.3,72.26,99.34,99.61,25,233
Kab. Tegal,14,98.41,91.49,98.76,94.19,127.5,81.41,99.2,102.58,29,295
Kab. Brebes,31,99.67,91.99,96.44,89.57,99.8,66.01,85.62,88.44,38,243
Kota Magelang,3,100,87.35,100,94.14,135.7,97.25,99.87,99.94,5,262
Kota Surakarta,7,100,93.61,95.28,97.44,99.4,94.71,95.23,95.23,17,1330
Kota Salatiga,6,100,97.52,100,92.11,75.1,86.17,96.61,99.96,6,312
Kota Semarang,23,100,92.25,99.98,98.46,100,92.29,90.04,100,37,2797
Kota Pekalongan,10,99.02,97.57,100,95.75,100,92.66,99.83,99.88,14,442
Kota Tegal,2,106.7,95.75,98.58,100.61,115.4,90.41,97.24,98.6,8,251
